name,email,firm,focus_area,notes
Union Square Ventures,info@unionsquare.com,Union Square Ventures,Investor,Scraped from LinkedIn post
Awesome People Ventures,info@awesomepeople.com,Awesome People Ventures,Investor,Scraped from LinkedIn post
VITALIZE VC,info@vitalize.com,VITALIZE VC,Investor,Scraped from LinkedIn post
Reach Capital,info@reach.com,Reach Capital,Investor,Scraped from LinkedIn post
Rebel Fund,info@rebel.com,Rebel Fund,Investor,Scraped from LinkedIn post
Seed Venture…,info@seedventure.com,Seed Venture…,Investor,Scraped from LinkedIn post
seed fund. Founders,info@seedfounders.com,seed fund. Founders,Investor,Scraped from LinkedIn post
BECO Capital,info@becocapital.com,BECO Capital,MENA VC,UAE VC
Wamda Capital,info@wamda.com,Wamda Capital,MENA VC,UAE VC
Shorooq Partners,hello@shorooq.com,Shorooq Partners,MENA VC,UAE VC
Global Ventures,info@global.ventures,Global Ventures,MENA VC,UAE VC
VentureSouq,info@venturesouq.com,VentureSouq,MENA VC,UAE VC
DTEC Ventures,info@dtec.ae,DTEC Ventures,Dubai Tech,UAE VC
Mubadala Investment,info@mubadala.com,Mubadala Investment,Sovereign Fund,UAE SWF
Techstars Dubai,dubai@techstars.com,Techstars Dubai,Accelerator,UAE accelerator
Rise Capital,info@risecapital.co,Rise Capital,MENA VC,UAE VC
SHUAA Capital,info@shuaa.com,SHUAA Capital,Investment Bank,UAE
Al Habtoor Group,info@habtoor.com,Al Habtoor Group,Family Office,UAE FO
Al Ghurair Group,info@alghurair.com,Al Ghurair Group,Family Office,UAE FO
Alserkal Group,info@alserkal.online,Alserkal Group,Family Office,UAE FO
Gargash Group,info@gargash.ae,Gargash Group,Family Office,UAE FO
one fund just dropped 🔥 Sequoia Capital just closed a $7B AI,info@sequoiacap.com,one fund just dropped 🔥 Sequoia Capital just closed a $7B AI,Investor,Scraped from LinkedIn post
Seed founders,info@seedfounders.com,Seed founders,Investor,Scraped from LinkedIn post
venturecapital,info@venturecapital.com,venturecapital,Investor,Scraped from LinkedIn post
fundraising,info@fundraising.com,fundraising,Investor,Scraped from LinkedIn post
Titan Capital,info@titan.com,Titan Capital,Investor,Scraped from LinkedIn post
Ankur Capital,info@ankur.com,Ankur Capital,Investor,Scraped from LinkedIn post
Elevation Capital,info@elevation.com,Elevation Capital,Investor,Scraped from LinkedIn post
DVC,info@dvc.com,DVC,Investor,Scraped from LinkedIn post
All In Capital,info@allin.com,All In Capital,Investor,Scraped from LinkedIn post
3one4 Capital,info@3one4.com,3one4 Capital,Investor,Scraped from LinkedIn post
Chiratae Ventures,info@chiratae.com,Chiratae Ventures,Investor,Scraped from LinkedIn post
InfoEdge Ventures,info@infoedge.com,InfoEdge Ventures,Investor,Scraped from LinkedIn post
Ideaspring Capital,info@ideaspring.com,Ideaspring Capital,Investor,Scraped from LinkedIn post
Eximius Ventures,info@eximius.com,Eximius Ventures,Investor,Scraped from LinkedIn post
Norrsken VC,info@norrsken.com,Norrsken VC,Investor,Scraped from LinkedIn post
Woven Capital,info@woven.com,Woven Capital,Investor,Scraped from LinkedIn post
Janus Henderson Investors,info@janushendersoninvestors.com,Janus Henderson Investors,Investor,Scraped from LinkedIn post
Airbus Ventures,info@airbus.com,Airbus Ventures,Investor,Scraped from LinkedIn post
Dragoneer Investment Group,info@dragoneer.com,Dragoneer Investment Group,Investor,Scraped from LinkedIn post
Mubadala Capital,info@mubadala.com,Mubadala Capital,Investor,Scraped from LinkedIn post
CapitalG,info@capitalg.com,CapitalG,Investor,Scraped from LinkedIn post
Perry Creek Capital,info@perrycreek.com,Perry Creek Capital,Investor,Scraped from LinkedIn post
Cherry Ventures,info@cherry.com,Cherry Ventures,Investor,Scraped from LinkedIn post
Sequoia Capital (Lead),info@sequoiacap.com,Sequoia Capital (Lead),Investor,Scraped from LinkedIn post
Sound Ventures,info@sound.com,Sound Ventures,Investor,Scraped from LinkedIn post
Permanent Capital,info@permanent.com,Permanent Capital,Investor,Scraped from LinkedIn post
Founders Capital,info@founders.com,Founders Capital,Investor,Scraped from LinkedIn post
Afore Capital,info@afore.com,Afore Capital,Investor,Scraped from LinkedIn post
Alumni Ventures,info@alumni.com,Alumni Ventures,Investor,Scraped from LinkedIn post
Data Tech Fund,info@datatech.com,Data Tech Fund,Investor,Scraped from LinkedIn post
9Yards Capital,info@9yards.com,9Yards Capital,Investor,Scraped from LinkedIn post
Autotech Ventures,info@autotech.com,Autotech Ventures,Investor,Scraped from LinkedIn post
Leap Forward Ventures,info@leapforward.com,Leap Forward Ventures,Investor,Scraped from LinkedIn post
funding,info@funding.com,funding,Investor,Scraped from LinkedIn post
Al Naboodah Group,info@alnaboodah.com,Al Naboodah Group,UAE Strategic Investor,Direct list from boss
Al Tayer Group,info@altayer.com,Al Tayer Group,UAE Strategic Investor,Direct list from boss
Al Rostamani Group,info@alrostamani.com,Al Rostamani Group,UAE Strategic Investor,Direct list from boss
